Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
60.2,-0.084228515625,0.4216370213557833,15,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-0.08304100036621094,0.0,15,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.1,-0.14182493686676026,0.3162277660168376,15,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
61.5,-0.09787452220916748,4.089281382128433,15,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
59.0,-0.17158935070037842,3.018461712712472,15,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
55.3,-0.1073843240737915,2.8693785622209798,15,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
65.8,-0.00014035701751708985,3.3598941782277754,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
62.2,-0.00015799999237060548,1.813529401164725,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.0,-0.00018362998962402345,3.091206165165234,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
67.0,-0.04863691329956055,4.18993502999218,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
58.1,-0.01597602367401123,3.6040101122068027,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
51.9,-0.17227962017059326,3.3813212407775355,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
65.0,-2.4568513870239257,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-2.3683417558670046,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-2.4939852952957153,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
68.0,-2.4327060699462892,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-2.559644174575806,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-2.471561241149902,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
60.0,-0.473384428024292,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
63.0,-0.49786105155944826,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
61.0,-0.42907302379608153,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
67.7,-6.744500613212585,4.3982319680121975,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
64.2,-6.65568699836731,3.5839146815241634,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
