Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
57.0,-11.585850238800049,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
74.0,-11.585850238800049,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
75.0,-11.585850238800049,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
13.0,-11.015416860580444,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
17.0,-11.015416860580444,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
29.0,-11.015416860580444,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
30.0,-11.015416860580444,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
28.0,-10.026025533676147,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
31.0,-10.026025533676147,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
30.0,-10.026025533676147,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
31.0,-10.026025533676147,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
10.0,-9.678683996200562,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
11.0,-9.678683996200562,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
11.0,-9.678683996200562,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
12.0,-9.678683996200562,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
14.0,-9.562753677368164,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
14.0,-9.562753677368164,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
15.0,-9.562753677368164,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
15.0,-9.562753677368164,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
