Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
100.0,-2.4333291053771973,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-2.4333291053771973,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-2.4333291053771973,50,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-2.4333291053771973,75,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-2.4333291053771973,100,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
38.0,-2.1010072231292725,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
38.0,-2.1010072231292725,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
38.0,-2.1010072231292725,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
38.0,-2.1010072231292725,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
38.0,-2.1010072231292725,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-2.1010072231292725,75,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-2.1010072231292725,100,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
38.0,-2.1437690258026123,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
38.0,-2.1437690258026123,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
38.0,-2.1437690258026123,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
38.0,-2.1437690258026123,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
38.0,-2.1437690258026123,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-2.1437690258026123,75,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-2.1437690258026123,100,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
89.0,-0.14902400970458984,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
90.0,-0.14902400970458984,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
99.0,-0.14902400970458984,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,-0.14902400970458984,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.14902400970458984,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.14902400970458984,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.14902400970458984,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.14351987838745117,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
