Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
70.0,-0.020828723907470703,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
72.0,-0.020828723907470703,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
64.0,-1.7323625087738037,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
79.0,-1.7323625087738037,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
86.0,-1.7323625087738037,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
89.0,-1.7323625087738037,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
75.0,-1.727234125137329,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
83.0,-1.727234125137329,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
89.0,-1.727234125137329,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
91.0,-1.727234125137329,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
62.0,-1.733224630355835,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
68.0,-1.733224630355835,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
68.0,-1.733224630355835,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
70.0,-1.733224630355835,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
83.0,-0.33243536949157715,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.0,-0.33243536949157715,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.0,-0.33243536949157715,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.0,-0.33243536949157715,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.0,-0.33980679512023926,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
86.0,-0.33980679512023926,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
89.0,-0.33980679512023926,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
91.0,-0.33980679512023926,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-0.39162182807922363,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
67.0,-0.39162182807922363,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
69.0,-0.39162182807922363,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
71.0,-0.39162182807922363,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.0,-0.6503362655639648,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,-0.6503362655639648,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.0,-0.6503362655639648,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.0,-0.6503362655639648,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
59.0,-0.7918052673339844,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
85.0,-0.7918052673339844,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
86.0,-0.7918052673339844,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
87.0,-0.7918052673339844,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
54.0,-0.6354117393493652,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
68.0,-0.6354117393493652,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
69.0,-0.6354117393493652,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
70.0,-0.6354117393493652,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.0,-0.03724265098571777,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
68.0,-0.03724265098571777,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
