Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
90.0,-0.021941137313842774,1.8708286933869716,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
69.6,-0.04365100860595703,3.5777087639996625,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
89.0,-0.10759696960449219,2.2360679774997902,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
88.6,-0.680884313583374,1.9493588689617931,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.6,-0.6694820880889892,5.176871642217915,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.8,-0.6600239276885986,2.4899799195977472,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.0,-0.3700686454772949,1.0000000000000004,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
69.4,-0.3739627838134766,2.07364413533277,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
89.4,-0.3626497745513916,1.1401754250991367,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.4,-1.7789715766906737,2.0736441353327724,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
68.0,-1.7120511054992675,2.121320343559642,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
87.0,-1.675446081161499,1.8708286933869702,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
87.6,-0.0407289981842041,0.5477225575051667,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
57.8,-0.03879847526550293,1.923538406167134,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
76.4,-0.03815279006958008,2.7018512172212605,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
90.4,-0.04131827354431152,2.3021728866442697,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
70.6,-0.04006357192993164,3.209361307176242,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
90.4,-0.03796205520629883,1.5165750888103082,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
87.6,-0.040723133087158206,2.7018512172212596,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.8,-0.04453158378601074,6.058052492344384,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.0,-0.0396024227142334,2.6457513110645907,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.6,-0.04272928237915039,1.1401754250991398,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
73.0,-0.039121580123901364,1.7320508075688783,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
90.0,-0.04477839469909668,1.5811388300841898,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.6,-0.04165968894958496,1.9493588689617938,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
65.4,-0.04197263717651367,5.176871642217914,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
88.0,-0.04153666496276855,0.7071067811865481,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
84.2,-0.00037131309509277346,7.293833011524186,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
67.6,-0.0002800464630126953,2.9664793948382653,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.2,-0.0002975940704345703,4.207136793592527,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
91.4,-0.021941137313842774,0.8944271909999173,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
71.4,-0.04365100860595703,3.049590136395382,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
92.2,-0.10759696960449219,1.3038404810405309,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
89.4,-0.680884313583374,1.8165902124584945,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.6,-0.6694820880889892,5.176871642217915,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.2,-0.6600239276885986,2.2803508501982774,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.6,-0.3700686454772949,0.5477225575051643,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.6,-0.3739627838134766,2.073644135332773,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
91.2,-0.3626497745513916,1.788854381999831,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.0,-1.7789715766906737,1.2247448713915905,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
70.0,-1.7120511054992675,3.082207001484488,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
89.6,-1.675446081161499,0.5477225575051667,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
87.0,-0.0407289981842041,2.121320343559642,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
64.8,-0.03879847526550293,2.2803508501982765,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
82.6,-0.03815279006958008,2.7018512172212588,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
91.2,-0.04131827354431152,1.3038404810405302,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
71.8,-0.04006357192993164,3.114482300479487,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
91.4,-0.03796205520629883,0.5477225575051652,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
87.6,-0.040723133087158206,2.7018512172212596,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.0,-0.04453158378601074,5.049752469181039,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.4,-0.0396024227142334,2.302172886644269,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.4,-0.04272928237915039,1.1401754250991376,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
74.0,-0.039121580123901364,1.7320508075688783,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
92.2,-0.04477839469909668,1.483239697419131,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.8,-0.04165968894958496,2.1679483388678804,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
67.8,-0.04197263717651367,5.718391382198319,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
89.4,-0.04153666496276855,1.9493588689617927,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
