Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
89.0,-1.3274606466293335,0.0,15,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,-1.2086919784545898,0.0,15,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-1.1065772771835327,0.0,15,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,-1.2082328796386719,0.0,15,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.5034895896911621,0.0,15,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.0,-0.4931330680847168,0.0,15,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
93.0,-0.5206626653671265,0.0,15,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
92.8,-6.476305294036865,1.8135294011647254,15,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
95.5,-6.458662629127502,2.273030282830976,15,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
94.0,-6.491834568977356,1.5634719199411433,15,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
92.4,-0.0854412317276001,6.0772800933751085,15,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
90.8,-0.08298594951629638,4.9170903772228725,15,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
86.0,-0.09790291786193847,6.110100926607786,15,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
95.7,-0.09510846138000488,0.4830458915396442,15,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
97.2,-0.08417448997497559,1.8737959096740266,15,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
95.7,-0.08705337047576904,1.766981104093143,15,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
92.3,-0.0818328857421875,0.48304589153964606,15,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
91.8,-0.0757131576538086,1.4757295747452444,15,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
89.1,-0.07302277088165283,1.1005049346146123,15,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.09681894779205322,0.0,15,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
82.8,-0.07469055652618409,0.6324555320336752,15,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.7,-0.07819514274597168,1.888562063228707,15,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.0791170835494995,0.0,15,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.0,-0.07042517662048339,0.0,15,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
92.9,-0.07671678066253662,0.3162277660168401,15,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
93.9,-0.09409987926483154,1.663329993316619,15,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
