Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
80.4,-0.04123377799987793,1.8165902124584956,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.2,-0.04314079284667969,3.3466401061363027,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-0.04365315437316895,5.522680508593631,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.4,-0.04125800132751465,6.618156843109717,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.8,-0.040538597106933597,4.147288270665544,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
82.8,-0.048498010635375975,2.0493901531919203,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
80.0,-0.03996992111206055,4.0,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
75.2,-0.00029816627502441404,7.981227975693965,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
77.2,-0.0002679347991943359,2.4899799195977472,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
72.6,-0.00027675628662109374,7.7974354758471724,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
79.8,-0.019371700286865235,2.7748873851023212,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.8,-0.01975116729736328,1.923538406167134,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
80.4,-0.018316364288330077,2.8809720581775866,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
57.2,-1.55133376121521,12.417729261020309,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.6,-1.5798892498016357,6.767569726275452,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.0,-1.5342577934265136,9.513148795220223,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.4,-1.2127624034881592,2.9664793948382657,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
82.2,-1.1018196105957032,1.6431676725154976,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.2,-1.1830977916717529,2.7748873851023217,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.6,-0.4716358184814453,5.272570530585626,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
80.8,-0.46687607765197753,4.086563348340511,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.2,-0.4640187740325928,4.381780460041328,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.4,-1.8765750885009767,1.6733200530681507,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
80.2,-1.856996726989746,3.7013511046643486,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
84.8,-1.873344326019287,1.6431676725154987,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
77.8,-0.038075733184814456,2.280350850198275,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
80.4,-0.03442230224609375,3.7815340802378077,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.2,-0.03659453392028809,1.6431676725154998,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
81.0,-0.03781623840332031,2.0,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
83.0,-0.03877243995666504,3.162277660168378,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
80.8,-0.03398971557617188,3.3466401061363023,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
77.2,-0.04581122398376465,2.1679483388678804,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
82.0,-0.040798616409301755,1.2247448713915883,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.6,-0.03967857360839844,3.5071355833500366,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.0,-0.04053339958190918,4.301162633521313,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
80.4,-0.039163637161254886,3.3615472627943213,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.8,-0.04123377799987793,1.923538406167134,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.2,-0.04314079284667969,2.7748873851023217,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
82.4,-0.04365315437316895,4.037325847637269,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.0,-0.04125800132751465,6.363961030678927,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.4,-0.040538597106933597,2.4083189157584592,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
82.6,-0.048498010635375975,0.8944271909999153,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
82.0,-0.03996992111206055,1.8708286933869702,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
